Syllable/Combination,汉字
hai3|51,㕢㤥㧉㧡㺔䇋䜕䝳亥侅嗐妎害拸氦猲絯閡餀饚駭駴骇
hai5,嚡
kai1A|55,㚊㱾䤤奒开揩鐦锎開
kai2|214,䁗䐩䒓䠽凯凱剀剴嘅垲塏岂嵦恺愷慨暟楷蒈豈輆鍇鎧铠锴閡闓闿雉颽
kai3|51,㪡䡷䫦劾勓喝喫嘅幆忾愒愾核欬欯渴溘濭炌炏烗輆鎎
lai1B|35,㥎䅘䋱䚅䠭䧒來俫倈唻婡崃崍庲徕徠来梾棶涞淶猍琜筙箂莱萊逨郲釐錸铼顂騋鯠鶆麳黧
lai2|214,㚓䂾
lai3|51,㸊䄤䓶䚅䲚來倈勑厲唻娕婡徕徠懶攋櫴濑瀨瀬癘癞癩睐睞籁籟藾襰誺賚賴赉赖逨釐頼顂鵣
mai1B|35,㜥㦟䁲䚑䨪哩埋薶貍霾
mai2|214,买咪嘪荬蕒買鷶
mai3|51,䘑䜕䥑䨫䮮佅劢勱卖唛売派脈脉衇賣迈邁霡霢麥麦鿏鿺
nai1B|35,㜨㾍䍲䘅䯮孻掜搱摨熋能腉螚
nai2|214,乃倷哪奶妳嬭廼氖疓艿迺那釢
nai3|51,㮈㮏㲡㴎佴奈柰渿耏耐能萘螚褦錼鼐
pai1A|55,拍
pai1B|35,䱝俳啡徘排棑椑牌犤猅箄簰簲脾輫
pai2|214,廹排迫
pai3|51,㭛㵒㵺䖰哌派渒湃蒎鎃
sai1A|55,㩙䚡䰄嘥噻塞思愢揌毢毸腮顋鰓鳃
sai2|214,㗷㘔䈢
sai3|51,僿嗮塞簺賽赛
shai1A|55,㩄㴓筛篩簁簛諰酾釃
shai2|214,摋繺色
shai3|51,㬠䵘攦晒曬殺閷
tai1A|55,台咍囼孡漦珆胎苔釐駘
tai1B|35,㒗㙵㣍㬃㷘㸀䈚䑓䔶儓台坮嬯抬擡斄旲枱檯炱炲箈籉能臺苔菭薹詒跆邰鈶颱駘骀鮐鲐
tai2|214,㘆呔奤騃
tai3|51,㑷㥭䣭儓冭大太夳忕忲态態汏汰泰溙燤肽舦酞鈦钛
tai5,粏
zai1A|55,哉才栽渽溨災灾烖甾睵菑賳載
zai2|214,㱰䏁䔂䣬䮨仔宰崽載载
zai3|51,䵧傤儎再在扗栽洅縡載载酨
zhai1A|55,㒀䔝亝侧側啇嚌夈捚摘擿斋斎榸牴粂齊齋
zhai1B|35,㡯厇宅度择擇檡翟
zhai2|214,䍉厏抧窄鉙
zhai3|51,㩟㾹䐱债債寨柴疵瘵砦祭簀膪豸責駘骴
an1A|55,㛺㞄㡋㫨㭺㸩䀂䅖䢿䤃䤶侒厂啽垵媕安峖广庵桉氨痷盒盦盫腤菴萻葊蓭裺誝諳谙鉗闇陰鞌鞍韽馣鮟鴳鵪鶕鹌黯
an1B|35,䜙儑啽犴玵雸
an2|214,㜝㽢䅖侒俺匼唵垵埯揞晻碪罯銨铵闇隌
an3|51,㟁㱘䅁䎨䬓䮗䯥儑厈咹垾堓婩屽岸干按晻暗案桉洝犴胺荌豻貋遃錌闇頇頞鮟黯鿷
ban1A|55,㢖㻞䃑䈲䰉卑彬扳搫搬攽斑斒朌班瘢癍籓般螌褩豳賁辬頒颁鳻
ban2|214,䉽䬳坂岅昄板版瓪粄舨般蝂覂鈑钣闆阪魬
ban3|51,㚘㪵䛀並伴办半坢埿姅怑扮拌柈湴瓣秚絆绊跘辦辨辯鉡靽
ban5,螁
can1A|55,㜗䉔䟃䱗傪参參叄叅喰囋嬠嵾湌爘飡飱餐驂骖鰺
can1B|35,㜞㥇㨻㱚䍼䏼䗝䗞䘉䙁䝳䣟䳻惭慙慚戔摲残殘淺蚕蝅蠶蠺蹔
can2|214,㦧㿊䅟䣟噆惨慘憯朁穇篸縿黪黲
can3|51,㛑㣓㻮㽩䛹傪儏參嘇孱掺摻澯灿燦璨粲薒謲鏒
chan1A|55,㚲㢟㤐㰫㺗䦓䩥䪜佔兔嘽嚵幨掺搀摻攙梴沾緂脠苫袩裧襜襝覘觇辿鉆鋓
chan1B|35,㙻㢆㶣㺥䂁䜛䡲䣑䤫䧯䫮亶僝僤儃儳劖单厘單嚵壥婵嬋嬗孱嶄巉廛撣棎欃毚湹漸潹潺澶瀍瀺煘獑磛禅禪緾繟繵纏纒缠艬蝉螹蟬蟺蟾襢誗讒谗蹍躔辿鄽酁鋋鑱镡镵饞馋
chan2|214,㦃㯆㹌㹽䊲䐮䑎䤘䥀䩶䵐丳产僤冁刬剗剷啴單嘽囅墠嵼幝憚摌斺旵榐浐滻灛燀產産簅繟蒇蕆諂譂讇谄辴醦鏟铲閳闡阐骣
chan3|51,㙴㨻㬄㸥䀡䊲䠨䦲䪜䱿䴼儳刬剗幝幨忏懴懺摲燀硟羼裧襜讖韂顫颤
dan1A|55,㐤㠆㴷䄡䐷䒟䡲丹儋冉勯匰单単單噡妉娊媅愖担擔檐殚殫湛澹瓭甔瘅癉眈砃箪簞耼耽聃聸褝襌襜覘蹛躭郸鄲酖頕鿕
dan2|214,㔊㕪㯯䃫䉞䦔䪴丼亶伔刐單嘽抌担掸撢撣澸燀玬瓭疸癉皽紞胆膽衴赕馾黕黮黵
dan3|51,㗖㡺㲷䊤䏙䗺䨢䨵䩥䪴䭛䳉亶但倓僤儃儋呾唌啖啗啿單嘾噉嚪壇帎弹弾彈忱怛惔惮憚憺憾担撢撣擔旦柦欿氮沊泹淡潭澶澹狚甔疍瘅癉癚石禫窞繵腅膻萏蓞蛋蜑蜒蟺觛訑詹誕譂诞贉贍醈霮餤饏馾駳髧鴠
fan1A|55,㴀䪛勫噃墦嬏帆幡忛憣拚旙旛潘犿畨番籓繙翻蕃藩轓颿飜鱕
fan1B|35,㠶㶗㸋㺕䀟䉒䊩䋣䋦䌓䕰䪛䪤䫶䭵䮳伋凡凢凣匥墦帆杋柉棥楓樊橎氾渢瀪瀿烦煩燔璠番矾礬笲籵緐繁繙羳膰舤舧舩蕃薠藩蘩蟠蠜袢襎蹯釩鐇鐢钒鷭
fan2|214,㽹䛀䟪䡊仮反払返釩
fan3|51,㕨㛯㤆㮥㴀㶗㼝㽹䀀䉊䐪䒦䛀䣲䪻反奿婏嬎帆梵樊氾汎泛滼犯畈盕笵範范訉販贩軓軬釩飯飰饭
gan1A|55,㓧㤌㶥㿻䇞䊻乹乾亁凲坩奸尲尴尶尷干幹忓攼杆柑汗泔浛漧玕玵甘疳矸竿筸粓肝芉苷虷諴迀酐釬飦魐鳱
gan2|214,㔶㺂䃭䇞䤗䵟仠感扞捍擀敢杆桿橄澉皯矸秆稈竿笴篢簳芉衦豃赶趕鰔鱤鳡
gan3|51,㽏䯎䲺个佄倝凎咁干幹旰杆榦檊汵淦灨盰矸竿簳紺绀詌贑贛赣錎骭
han1A|55,㤷㦑䘶䣻佄哻嫨憨欦歛犴甘蚶谽酣頇顸馠魽鼾
han1B|35,㖤㙔㟏㟔㮀㶰㼨䈄䎏䗙䤴䥁䨡䮧䶃函凾含咁唅圅娢寒崡嵅幹晗梒椷榦汗汵浛涵淊淦澏焓琀甝笒筨肣虷蚶蜬邗邯鈐鋡韓韩頜馯魽鿰
han2|214,㘎㘕㘚㙳㰹㸁㺖䍐䍑䎯䓍丆厂厈喊嚂嵌浫罕蔊豃軒闞阚鬫
han3|51,㑵㒈㢨㨔㪋㲦㵄㺝䁔䎯䏷䐄䓿䕿䖔䗣䘶䛞䜗䧲䫲䮧仠傼含垾屽岾忓悍感憾扞捍撖撼攼旰旱晘暵桿汉汗泔浛涆涵淊漢澉澣瀚灘焊熯猂皔睅矸罕翰肣莟菡蔊蘫蛿蜭螒譀邯酣釬銲鋎閈闬雗靬頷顄顩颔馯駻鳱鶾
han5,兯爳
kan1A|55,㘛㪁䁍刊勘堪嵁戡栞看靬龕龛
kan2|214,㙳㸝䖔䫲侃偘冚凵坎埳堿塪惂扻槛檻欿歁砍竷莰衎輡轁轗顑
kan3|51,䀍䘓䳚喊坎墈崁嵌監看瞰矙碪磡竷薟衎輱闞阚餡
lan1B|35,㑣㔋㘓㘕㜮㞩㦨㳕䆾䍀䑌䦨䪍䰐儖兰厱啉囒婪岚嵐幱惏懢拦攔斓斕暕栏欄欗漣澜濫瀾灆灡燣燷璼礷篮籃籣繿葻蓝藍蘭褴襕襤襴襽譋讕谰躝郴鑭钄镧闌阑韊
lan2|214,㛦㨫㩜㰖䄤䈒䌫囕壈婪嬾孄孏廩懒懔懶揽擥攬榄欖浨漤濫灠爦纜缆罱覧覽览醂顲
lan3|51,㜮㱫䃹䆾䑌僋嚂坔壏湅滥濫灠烂煉燗爁爛爤瓓糷蘫覽諫連鑭闌
man1A|55,嫚顢颟
man1B|35,㒼㙢㿸䅼䊡䐽䒥䛲䟂䯶䰋僈埋姏悗慢慲摱槾樠瞒瞞矕絻蔓蛮蠻謾谩蹣鞔顢饅馒鬗鬘鰻鳗
man2|214,㛧䜱屘満满滿睌矕螨蟎襔鏋
man3|51,㗈㡢㬅㵘䅼䕕䝡䝢䡬僈墁嫚幔幕慢摱曼槾漫澫澷熳獌縵缦蔄蔓蘰謾谩鄤鏝镘
nan1A|55,囝囡
nan1B|35,㓓㽖䔜䛁䶲侽冉南喃娚弇抩暔枏柟楠男畘莮萳諵遖难難
nan2|214,㫱䈒䊖䣸䩅喃嫨戁揇湳煵罱腩萳蝻赧
nan3|51,㫱㬮䣸妠婻攤灘諵难難
pan1A|55,㐴㢖㽃䆺乑姍扳拌攀潘畨番眅籓萠賁
pan1B|35,䃑䃲䈲䩔䰉䰔卞媻審幋弁彦搫柈槃洀湴潘瀊瀋爿番皤盘盤磐磻縏繁胖膰般蒰螌蟠褩跘踫蹒蹣鄱鎜鞶
pan2|214,坢盻闆
pan3|51,䏒伴冸判半叛坢拚柈沜泮溿潘炍片牉畔番盼眫聁胖袢襻詊鋬鑻頖鵥
ran1B|35,㜣㲯㸐㾆䑙䔳䕼䖄䫇䳿呥嘫柟然燃繎肰蚦蚺衻袇袡髥髯
ran2|214,㒄㚩㜣㦓㿵䎃䒣䣸䤡冄冉姌媣染橪熯珃苒蒅蹨
san1A|55,䈀三厁叁參弎散毵毶毿犙糝蔘謲鬖
san2|214,㧲䉈䊉䫩仐伞傘傪參散糁糂糝糣糤繖蔘鏒鏾霰饊馓
san3|51,㤾㪔㪚䫅俕帴散潵閐鬖
san5,壭橵
shan1A|55,㰑㺑䀐䘰䩔䪌删刪剼嘇圸埏姍姗山幓彡扇挻搧摻杉杣柵栅檆櫼潸澘烻煔煽狦猭珊痁穇笘縿纔羴羶脠膻舢芟苫葠蔪衫襂襳跚軕邓邖釤钐閊顫髟鯅
shan2|214,㚒㨛㨻㪎㴸㶒㺑䁴䠾掺摻晱炶煔熌睒覢閃閄闪陕陝顃鿃
shan3|51,㣌㣣㨛㪨㯆㺑䄠䚲䡪䥇䦂䦅䱇䱉䴮傓僐僤儃儋剡单善單墠墡壇嬗嶦扇掞掸撣擅擔攙敾椫樿檀歚汕潬澹灗疝磰禅禪笧繕缮膳苫蟬蟮蟺訕謆譱讪贍赡赸鄯釤銏鐥钐饍騸骟鱓鱔鱣鳝
tan1A|55,㘱㨏㳩㴂㵅䆱䑙啴嘽坍怹摊撣擹攤滩漢潬灘痑瘫癱舑舔貪贪
tan1B|35,㜤㲜㷋㽎㽑䃪䉡䊤䐺䕊倓單嘾坛埮墰墵壇壜婒弹彈惔憛昙曇榃橝檀沈淡湛潭澹炎燂痰癉磹禪繵罈罎胆蕁蕈藫覃談譚譠谈谭貚郯醈醰錟锬镡顃餤鷤
tan2|214,㫜㲭䏙䞡䦔但僋儃嗿坦壇忐憳憻暺毯璮緂胆菼袒裧襢醓鉭钽
tan3|51,㛶㤾㵅㶒䀡䐺䗊䜖倓傝僋叹嘆埮探撢歎湠炭碳舕賧黮
zan1A|55,䍼䐶兂撍篸簪簮糌臢鐕鐟
zan1B|35,偺咱喒
zan2|214,㭮㳫䭕儧儹喒噆寁拶揝撍攅攒攢昝桚簪趱趲
zan3|51,㔆㜺㟛㣅㨻䟅䬤兓囋攢暂暫涔淺湔濺濽灒瓉瓒瓚禶穳襸讃讚賛贊赞蹔鄼酂酇錾鏨鏩饡
zan5,偺咱喒
zhan1A|55,㣶㮵䦓䩇䬤䱳䶨亶占噡嶦怗惉旃旜枬栴毡氈氊沾澶瞻站粘薝蛅襢覱詀詹譫讝谵趈邅閚霑飦餰饘驙魙鱣鳣鳽鸇鹯點龪
zhan1B|35,讝
zhan2|214,㔊㜊㞡㟻㠭䁪䁴䆄䎒䟋䡀䩅䩆䱼儃嫸展崭嶃嶄拃搌撣斩斬棧榐橏湔琖皽盏盞蹍輾辗醆颭飐黵
zhan3|51,㟞㺘㻵䋎䏼䗃䘺䡀䧯䪌䱠䳻佔偡占單孱嵁嶘战戦戰斬栈桟棧椾欃湛碊站綻绽菚蘸虥虦袒襢覱詀謙譧跕躔輚轏邅醮顫颤驏驙
ang1A|55,肮腌醃骯
ang1B|35,㭿䀚䒢䩕䭹仰卬岇昂昻
ang2|214,䇦䭺
ang3|51,㼜枊盎醠
bang1A|55,㙃㨍㿶䩷垹帮幇幚幫彭捠梆浜縍邦邫鞤
bang2|214,㮄搒榜牓紡綁绑膀螃騯髈
bang3|51,㭋䂜䎧䖫䧛䰷並傍嗙埲塝嫎徬搒旁棒棓榜玤硥磅稖縍膀艕蒡蚄蚌蛖蜯謗谤鎊镑
cang1A|55,仓仺伧倉傖凔嵢沧滄濸獊瑲篬舱艙苍蒼螥鶬鸧
cang1B|35,㵴㶓匨欌臧蔵藏鑶
cang2|214,蒼
cang3|51,䅮䢢賶
chang1A|55,䅛䗉䮖䱽伥倀倡娼昌晿椙淐猖琩菖裮錩锠閶闛阊鯧鲳鼚
chang1B|35,㙊㦂䗅䠆䯴仧仩倘偿償兏嘗嚐场場塲嫦尚尝常徜棖瑺瓺甞肠脹腸膓苌萇裳鋿鏛長镸长鱨鲿
chang2|214,㫤䠀僘儻厂厰场場塲廠惝敞昶氅淌鋹
chang3|51,䩨倡唱怅悵昌暢淌焻玚瑒畅畼誯韔鬯
chang5,蟐
dang1A|55,㼕㽆儅噹当檔澢珰璫當筜簹艡蟷裆襠鐺铛
dang2|214,䣊䣣党挡擋攩欓灙譡讜谠黨
dang3|51,䑗䦒偒儅凼圵垱場壋婸宕崵嵣当愓挡擋档檔氹潒燙瑒璗瓽當瘍盪瞊砀碭礑簜荡菪蕩蘯讜趤逿闣雼
dang5,當
fang1A|55,䄱匚坊埅妨放方枋汸淓牥祊芳蚄趽邡鈁錺钫雱鴋
fang1B|35,㤃坊埅妨彷房方肪防魴鰟鲂
fang2|214,㑂㕫㧍㯐䢍䰃䲱仿倣彷放方旊昉昘昞枋瓬眆眪紡纺舫訪访髣鴋鶭
fang3|51,匚放紡趽邡
fang5,堏
gang1A|55,㠮㧏㭎㼚䚗亢伉冈冮刚剛堈堽岗岡崗扛抗掆杠棡牨犅疘矼碙綱纲缸罁罓罡肛肮釭鋼鎠钢阬頏
gang2|214,㟠㟵㽘䴚岗崗港溝犺
gang3|51,戅戆戇掆杠槓焵焹筻鋼钢鿍
hang1A|55,㬻㰠䂫䦭夯忼炕
hang1B|35,㤚䀪䘕䢚䲳吭垳妔斻杭桁沆珩笐筕絎绗肮航苀蚢行貥迒邟頏颃魧
hang2|214,狠狼
hang3|51,䟘䣈吭巷忼桁沆笐行酐頏
kang1A|55,㝩㢜㱂㼹䆲䗧嫝嵻康忼慷杭槺漮砊穅粇糠荒躿邟鏮闶鱇
kang1B|35,扛摃
kang2|214,䡉伉奋骯
kang3|51,㢜䦎亢伉匟囥坑康抗杭沆炕犺砊羫邟鈧钪閌闶阬
lang1A|55,啷
lang1B|35,㝗㟍㢃㱢㾿䆡䡙䯖䱶勆哴嫏廊斏桹榔欴浪狼琅瑯硠稂筤羹艆莨蓈蜋螂踉躴郎郒郞鋃鎯锒阆駺鿶
lang2|214,㓪㙟㝗㟍㫰㮾䀶俍塱崀悢朖朗朤榔樃樠烺狼脼蓢誏閬
lang3|51,㫰䍚䕞埌崀浪狼琅筤莨蒗誏踉郎閬阆鿾
lang5,唥
mang1A|55,牤
mang1B|35,㝑㟌㟿㡛㤶㴇㻊䅒䈍䏵䓼䵨厖吂哤娏尨庬忙恾朚杗杧氓汒浝牻狵甿痝盲盳瞢硭笀芒茫莽蘉蛖邙釯鋩铓駹鸏龍
mang2|214,㟐㟿㬒䁳䏵䒎䖟壾朦汒漭硥茻莽莾蟒蠎
mang3|51,㤶吂
nang1A|55,囊囔蘘
nang1B|35,䁸乪噥嚢囊憹搑欜涳蠰譨饢馕鬞
nang2|214,㶞搑擃攮曩瀼灢饢馕
nang3|51,㚂儾鬞齉
nang5,囔
pang1A|55,䏺䨦乓汸沗滂牓磅肨胮膀膖鎊雱霶
pang1B|35,㥬㫄䅭䠙仿傍厐厖夆嫎尨庞彭彷徬房方旁榜磅篣膀舽蒡螃蠭趽逄逢雱髈鰟鳑龎龐
pang2|214,䒍嗙耪膀覫髈
pang3|51,㕩炐肨胖
rang1A|55,嚷
rang1B|35,䉴儴勷孃瀼獽瓤禳穣穰蘘躟鑲鬤
rang2|214,䑋嚷壌壤忀攘爙穰纕蠰
rang3|51,懹攘欀瀼譲讓让
sang1A|55,䘮丧喪桑桒槡纕
sang2|214,䡦䫙嗓搡磉褬鎟顙颡
sang3|51,䘮丧喪
shang1A|55,䵰䵼伤傷商場塲墒愓慯殇殤汤湯滳漡熵禓蔏螪觞觴謪踼鬺
shang2|214,䬕上垧埫扄晌曏賞贘赏鑜
shang3|51,䟫丄上尙尚恦緔绱蠰鞝
shang5,裳
tang1A|55,㓥䞶䠀劏嘡汤湯簜羰耥膛蕩薚蝪趟蹚鏜鐋鐺铴镗閶闛闣鞺鼞
tang1B|35,㑽㙶㜍㭻㲥㼺䅯䉎䌅䕋䣘䧜傏唐啺坣堂塘嵣愓搪棠榶樘橖溏漟煻瑭磄禟篖糃糖糛膅膛蓎螗螳赯踼逿鄌醣鎕鏜镗闛隚餳餹饄饧鶶
tang2|214,㒉㼒㿩伖倘偒傥儻埫帑惝戃擴攩曭欓淌爣矘耥踼躺鎲钂镋黨
tang3|51,䞶䟖䠀儻摥湯漡烫燙蕩趟蹚躺鐋
zang1A|55,㮜匨戕牂牫羘脏臧蔵藏賍賘贓贜赃髒
zang2|214,駔驡驵髒
zang3|51,㘸塟奘弉脏臓臟臧葬藏銺
zhang1A|55,䛫䩨傽嫜张弡張彰慞暲樟漲漳獐璋章粻蔁蟑遧鄣障餦騿鱆麞
zhang2|214,仉幥掌涨漲礃長长鞝
zhang3|51,㙊㙣㽴丈仗墇嶂帐帳幛張扙杖涨涱漲痮瘬瘴瞕章粀胀脹賬账鄣長障
zhang5,鏱
au1A|55,㕭㩠䆟䫜凹坳柪梎棍泑熝熬爊眑軪鴢
au1B|35,㟼㠂㿰䚫䥝䦋䵅傲厫嗷嗸嚣囂墽嶅廒慠摮敖滶熬獒獓璈磝磽礉翱翶翺聱蔜螯謷謸遨鏕鏖隞鰲鳌鷔鼇
au2|214,㑃㤇䉛䐿䯠䴈媪媼抝拗眑芺蝹袄襖郩镺鴁
