CH	UCODE	CRZJ_1	INIT	FINL	TONE	DESC	DESC_CRZJ_1
职	U+804C	zik4Aa|5	z	ik	4Aa|5		
聍	U+804D	ning1B|21	n	ing	1B|21		
聍	U+804D	ling1B|21	l	ing	1B|21		
聎	U+804E	tiu1A|55	t	iu	1A|55		
聏	U+804F	ji1B|21	j	i	1B|21		
聐	U+8050	ngat4B|2	ng	at	4B|2		
聐	U+8050	at4B|2		at	4B|2		
聑	U+8051	dip4Ab|3	d	ip	4Ab|3		
聒	U+8052	kut4Ab|3	k	ut	4Ab|3		
聒	U+8052	kwut4Ab|3	kw	ut	4Ab|3		
聓	U+8053	sei3A|33	s	ei	3A|33		
联	U+8054	lyun1B|21	l	yun	1B|21		
联	U+8054	lyun2A|35	l	yun	2A|35		
聕	U+8055	hou3B|22	h	ou	3B|22		
聖	U+8056	sing3A|33	s	ing	3A|33		
聗	U+8057	lip4B|2	l	ip	4B|2		
聘	U+8058	ping3A|33	p	ing	3A|33		
聙	U+8059	zing1A|55	z	ing	1A|55		
聚	U+805A	zoei3B|22	z	oei	3B|22		
聛	U+805B	beai2A|35	b	eai	2A|35		
聜	U+805C	dei2A|35	d	ei	2A|35		
聝	U+805D	gwok4Ab|3	gw	ok	4Ab|3		
聝	U+805D	gok4Ab|3	g	ok	4Ab|3		
聝	U+805D	gwik4Aa|5	gw	ik	4Aa|5		
聞	U+805E	men1B|21	m	en	1B|21		
聞	U+805E	men2A|35	m	en	2A|35		
聞	U+805E	men3B|22	m	en	3B|22		
聟	U+805F	sei3A|33	s	ei	3A|33		
聠	U+8060	ping1A|55	p	ing	1A|55		
聡	U+8061	cung1A|55	c	ung	1A|55		
聢	U+8062	ding3B|22	d	ing	3B|22		
聣	U+8063	ngei3B|22	ng	ei	3B|22		
聣	U+8063	ei3B|22		ei	3B|22		
聤	U+8064	ting1B|21	t	ing	1B|21		
聥	U+8065	goei2A|35	g	oei	2A|35		
聦	U+8066	cung1A|55	c	ung	1A|55		
聧	U+8067	kwei1A|55	kw	ei	1A|55		
聨	U+8068	lyun1B|21	l	yun	1B|21		
聩	U+8069	kui2A|35	k	ui	2A|35		
聩	U+8069	kwui2A|35	kw	ui	2A|35		
聩	U+8069	kui3A|33	k	ui	3A|33		
聩	U+8069	kwui3A|33	kw	ui	3A|33		
聪	U+806A	cung1A|55	c	ung	1A|55		
聫	U+806B	lyun1B|21	l	yun	1B|21		
聬	U+806C	jung2A|35	j	ung	2A|35		
聭	U+806D	gwei3A|33	gw	ei	3A|33		
聮	U+806E	lyun1B|21	l	yun	1B|21		
聯	U+806F	lyun1B|21	l	yun	1B|21		
聯	U+806F	lyun2A|35	l	yun	2A|35		
聰	U+8070	cung1A|55	c	ung	1A|55		
聱	U+8071	ngou1B|21	ng	ou	1B|21		
聱	U+8071	ou1B|21		ou	1B|21		
聲	U+8072	sing1A|55	s	ing	1A|55		
聲	U+8072	seang1A|55	s	eang	1A|55		
聳	U+8073	sung2A|35	s	ung	2A|35		
聴	U+8074	ting1A|55	t	ing	1A|55		
聵	U+8075	kui2A|35	k	ui	2A|35		
聵	U+8075	kwui2A|35	kw	ui	2A|35		
聵	U+8075	kui3A|33	k	ui	3A|33		
聵	U+8075	kwui3A|33	kw	ui	3A|33		
聶	U+8076	nip4B|2	n	ip	4B|2		
聶	U+8076	lip4B|2	l	ip	4B|2		
職	U+8077	zik4Aa|5	z	ik	4Aa|5		
聸	U+8078	dam1A|55	d	am	1A|55		
聹	U+8079	ning1B|21	n	ing	1B|21		
聹	U+8079	ling1B|21	l	ing	1B|21		
聺	U+807A	cit4Ab|3	c	it	4Ab|3		
聻	U+807B	zim3B|22	z	im	3B|22		
聼	U+807C	ting1A|55	t	ing	1A|55		
聼	U+807C	teang1A|55	t	eang	1A|55		
聼	U+807C	ting3A|33	t	ing	3A|33		
聽	U+807D	ting1A|55	t	ing	1A|55		
聽	U+807D	teang1A|55	t	eang	1A|55		
聽	U+807D	ting3A|33	t	ing	3A|33		
聾	U+807E	lung1B|21	l	ung	1B|21		
聾	U+807E	lung2A|35	l	ung	2A|35		
聿	U+807F	wet4B|2	w	et	4B|2		
聿	U+807F	loet4B|2	l	oet	4B|2		
聿	U+807F	jyut4B|2	j	yut	4B|2		
肀	U+8080					書字頭	syu1A|55 zi3B|22 teu1B|21
肁	U+8081	ziu3B|22	z	iu	3B|22		
肂	U+8082	si3A|33	s	i	3A|33		
肃	U+8083	suk4Aa|5	s	uk	4Aa|5		
肄	U+8084	ji3B|22	j	i	3B|22		
肄	U+8084	si3A|33	s	i	3A|33		
肅	U+8085	suk4Aa|5	s	uk	4Aa|5		
肆	U+8086	si3A|33	s	i	3A|33		
肆	U+8086	seai3A|33	s	eai	3A|33		
肇	U+8087	siu3B|22	s	iu	3B|22		
肈	U+8088	siu3B|22	s	iu	3B|22		
肉	U+8089	juk4B|2	j	uk	4B|2		
肉	U+8089	juk	j	uk			
肊	U+808A	jik4Aa|5	j	ik	4Aa|5		
肋	U+808B	lek4B|2	l	ek	4B|2		
肋	U+808B	lak4B|2	l	ak	4B|2		
肋	U+808B	lak4Aa|5	l	ak	4Aa|5		
肌	U+808C	geai1A|55	g	eai	1A|55		
肍	U+808D	geu3B|22	g	eu	3B|22		
肎	U+808E	heng2A|35	h	eng	2A|35		
肏	U+808F	cau3A|33	c	au	3A|33		
肐	U+8090	gok4Ab|3	g	ok	4Ab|3		
肐	U+8090	gak4Ab|3	g	ak	4Ab|3		
肐	U+8090	get4Aa|5	g	et	4Aa|5		
肑	U+8091	bok4Ab|3	b	ok	4Ab|3		
肒	U+8092	wun3B|22	w	un	3B|22		
肓	U+8093	fong1A|55	f	ong	1A|55		
肔	U+8094	ci2A|35	c	i	2A|35		
肕	U+8095	jen3B|22	j	en	3B|22		
肖	U+8096	ciu3A|33	c	iu	3A|33		
肖	U+8096	siu1A|55	s	iu	1A|55		
肗	U+8097	jyu2B|13	j	yu	2B|13		
肘	U+8098	zau2A|35	z	au	2A|35		
肘	U+8098	zeu2A|35	z	eu	2A|35		
肙	U+8099	jyun1A|55	j	yun	1A|55		
肚	U+809A	tou2B|13	t	ou	2B|13		
肚	U+809A	tou2A|35	t	ou	2A|35		
肛	U+809B	gong1A|55	g	ong	1A|55		
肜	U+809C	jung1B|21	j	ung	1B|21		
肝	U+809D	gon1A|55	g	on	1A|55		
肞	U+809E	ca1A|55	c	a	1A|55		
肟	U+809F	ok4Ab|3		ok	4Ab|3		
肟	U+809F	ngok4Ab|3	ng	ok	4Ab|3		
肟	U+809F	wu1A|55	w	u	1A|55		
肠	U+80A0	ceong1B|21	c	eong	1B|21		
肠	U+80A0	ceong2A|35	c	eong	2A|35		
股	U+80A1	gu2A|35	g	u	2A|35		
股	U+80A1	gwu2A|35	gw	u	2A|35		
肢	U+80A2	zi1A|55	z	i	1A|55		
肣	U+80A3	hem1B|21	h	em	1B|21		
肤	U+80A4	fu1A|55	f	u	1A|55		
肥	U+80A5	feai1B|21	f	eai	1B|21		
肥	U+80A5	feai2A|35	f	eai	2A|35		
肦	U+80A6	ban1A|55	b	an	1A|55		
肧	U+80A7	pui1A|55	p	ui	1A|55		
肧	U+80A7	peai1A|55	p	eai	1A|55		
肨	U+80A8	bun3B|22	b	un	3B|22		
肩	U+80A9	gin1A|55	g	in	1A|55		
肪	U+80AA	fong1A|55	f	ong	1A|55		
肫	U+80AB	zoen1A|55	z	oen	1A|55		
肫	U+80AB	soen1B|21	s	oen	1B|21		
肬	U+80AC	jeu1B|21	j	eu	1B|21		
肭	U+80AD	noet4B|2	n	oet	4B|2		
肭	U+80AD	loet4B|2	l	oet	4B|2		
肭	U+80AD	net4B|2	n	et	4B|2		
肭	U+80AD	let4B|2	l	et	4B|2		
肭	U+80AD	nuk4B|2	n	uk	4B|2		
肭	U+80AD	luk4B|2	l	uk	4B|2		
肮	U+80AE	kon3A|33	k	on	3A|33		
肮	U+80AE	ong1A|55		ong	1A|55		
肮	U+80AE	ngong1A|55	ng	ong	1A|55		
肮	U+80AE	ong3A|33		ong	3A|33		
肮	U+80AE	ngong3A|33	ng	ong	3A|33		
肮	U+80AE	hong1B|21	h	ong	1B|21		
肯	U+80AF	heng2A|35	h	eng	2A|35		
肯	U+80AF	hoi2A|35	h	oi	2A|35		
肰	U+80B0	jin1B|21	j	in	1B|21		
肱	U+80B1	gweng1A|55	gw	eng	1A|55		
育	U+80B2	juk4B|2	j	uk	4B|2		
育	U+80B2	jo1A|55	j	o	1A|55		
肳	U+80B3	men2B|13	m	en	2B|13		
肴	U+80B4	ngau1B|21	ng	au	1B|21		
肴	U+80B4	au1B|21		au	1B|21		
肵	U+80B5	keai1B|21	k	eai	1B|21		
肶	U+80B6	beai2A|35	b	eai	2A|35		
肷	U+80B7	him2A|35	h	im	2A|35		
肷	U+80B7	hip4Ab|3	h	ip	4Ab|3		
肸	U+80B8	jet4B|2	j	et	4B|2		
肸	U+80B8	beai3A|33	b	eai	3A|33		
肹	U+80B9	jet4B|2	j	et	4B|2		
肹	U+80B9	beai3A|33	b	eai	3A|33		
肺	U+80BA	fei3A|33	f	ei	3A|33		
肻	U+80BB	heng2A|35	h	eng	2A|35		
肼	U+80BC	zeang2A|35	z	eang	2A|35		
肽	U+80BD	tai3A|33	t	ai	3A|33		
肾	U+80BE	sen2B|13	s	en	2B|13		
肾	U+80BE	sen2A|35	s	en	2A|35		
肾	U+80BE	sen3B|22	s	en	3B|22		
肿	U+80BF	zung2A|35	z	ung	2A|35		
胀	U+80C0	zeong3A|33	z	eong	3A|33		
胁	U+80C1	hip4Ab|3	h	ip	4Ab|3		
胂	U+80C2	sen3B|22	s	en	3B|22		
胃	U+80C3	wei3B|22	w	ei	3B|22		
胄	U+80C4	zeu3B|22	z	eu	3B|22		
胅	U+80C5	dit4Ab|3	d	it	4Ab|3		
胆	U+80C6	dam2A|35	d	am	2A|35		
胇	U+80C7	fei3A|33	f	ei	3A|33		
胈	U+80C8	bet4B|2	b	et	4B|2		
胉	U+80C9	bok4Ab|3	b	ok	4Ab|3		
胊	U+80CA	koei1B|21	k	oei	1B|21		
胋	U+80CB	tim1B|21	t	im	1B|21		
背	U+80CC	bui3A|33	b	ui	3A|33		
背	U+80CC	bui2A|35	b	ui	2A|35		
背	U+80CC	bui3B|22	b	ui	3B|22		
胍	U+80CD	gwa1A|55	gw	a	1A|55		
胎	U+80CE	toi1A|55	t	oi	1A|55		
胏	U+80CF	zi2A|35	z	i	2A|35		
胐	U+80D0	pui3A|33	p	ui	3A|33		
胑	U+80D1	zi1A|55	z	i	1A|55		
胑	U+80D1	zik4Aa|5	z	ik	4Aa|5		
胒	U+80D2	neai3B|22	n	eai	3B|22		
胒	U+80D2	leai3B|22	l	eai	3B|22		
胓	U+80D3	ping1B|21	p	ing	1B|21		
胔	U+80D4	zi3A|33	z	i	3A|33		
胕	U+80D5	fu1A|55	f	u	1A|55		
胕	U+80D5	fu1B|21	f	u	1B|21		
胖	U+80D6	bun3B|22	b	un	3B|22		
胖	U+80D6	pun1B|21	p	un	1B|21		
胗	U+80D7	cen2A|35	c	en	2A|35		
胗	U+80D7	zen1A|55	z	en	1A|55		
胘	U+80D8	jin1B|21	j	in	1B|21		
胙	U+80D9	zou3B|22	z	ou	3B|22		
胚	U+80DA	pui1A|55	p	ui	1A|55		
胚	U+80DA	peai1A|55	p	eai	1A|55		
胛	U+80DB	gap4Ab|3	g	ap	4Ab|3		
胜	U+80DC	sing3A|33	s	ing	3A|33		
胜	U+80DC	sing1A|55	s	ing	1A|55		
胜	U+80DC	sang1A|55	s	ang	1A|55		
胝	U+80DD	zi1A|55	z	i	1A|55		
胞	U+80DE	bau1A|55	b	au	1A|55		
胟	U+80DF	mou2B|13	m	ou	2B|13		
胠	U+80E0	koei1A|55	k	oei	1A|55		
胡	U+80E1	wu1B|21	w	u	1B|21		
胡	U+80E1	wu2A|35	w	u	2A|35		
胢	U+80E2	ka3A|33	k	a	3A|33		
胣	U+80E3	ci2A|35	c	i	2A|35		
胤	U+80E4	jen3B|22	j	en	3B|22		
胥	U+80E5	soei1A|55	s	oei	1A|55		
胦	U+80E6	jeong1A|55	j	eong	1A|55		
胧	U+80E7	lung1B|21	l	ung	1B|21		
胨	U+80E8	dung3A|33	d	ung	3A|33		
胩	U+80E9	ka1A|55	k	a	1A|55		
胪	U+80EA	lou1B|21	l	ou	1B|21		
胫	U+80EB	hing2B|13	h	ing	2B|13		
胫	U+80EB	ging3A|33	g	ing	3A|33		
胬	U+80EC	nou2B|13	n	ou	2B|13		
胬	U+80EC	lou2B|13	l	ou	2B|13		
胭	U+80ED	jin1A|55	j	in	1A|55		
胮	U+80EE	pong1A|55	p	ong	1A|55		
胯	U+80EF	kwa3A|33	kw	a	3A|33		
胰	U+80F0	ji1B|21	j	i	1B|21		
胱	U+80F1	gwong1A|55	gw	ong	1A|55		
胱	U+80F1	gong1A|55	g	ong	1A|55		
胲	U+80F2	goi1A|55	g	oi	1A|55		
胲	U+80F2	goi2A|35	g	oi	2A|35		
胲	U+80F2	hoi2A|35	h	oi	2A|35		
胳	U+80F3	gok4Ab|3	g	ok	4Ab|3		
胳	U+80F3	gak4Ab|3	g	ak	4Ab|3		
胳	U+80F3	get4Aa|5	g	et	4Aa|5		
胳	U+80F3	lok4Ab|3	l	ok	4Ab|3		
胴	U+80F4	dung3B|22	d	ung	3B|22		
胵	U+80F5	ci1A|55	c	i	1A|55		
胵	U+80F5	ci3A|33	c	i	3A|33		
胶	U+80F6	gau1A|55	g	au	1A|55		
胷	U+80F7	hung1A|55	h	ung	1A|55		
胸	U+80F8	hung1A|55	h	ung	1A|55		
胹	U+80F9	ji1B|21	j	i	1B|21		
胺	U+80FA	on1A|55		on	1A|55		
胺	U+80FA	ngon1A|55	ng	on	1A|55		
胺	U+80FA	on3A|33		on	3A|33		
胺	U+80FA	ngon3A|33	ng	on	3A|33		
胺	U+80FA	at4Ab|3		at	4Ab|3		
胺	U+80FA	ngat4Ab|3	ng	at	4Ab|3		
胻	U+80FB	heng1B|21	h	eng	1B|21		
胼	U+80FC	pin1B|21	p	in	1B|21		
能	U+80FD	neng1B|21	n	eng	1B|21		
能	U+80FD	leng1B|21	l	eng	1B|21		
胾	U+80FE	zi3A|33	z	i	3A|33		
胿	U+80FF	gwei1A|55	gw	ei	1A|55		
脀	U+8100	zing1A|55	z	ing	1A|55		
脁	U+8101	tiu2A|35	t	iu	2A|35		
脂	U+8102	zi1A|55	z	i	1A|55		
脃	U+8103	coei3A|33	c	oei	3A|33		
脄	U+8104	mui1B|21	m	ui	1B|21		
脅	U+8105	hip4Ab|3	h	ip	4Ab|3		
脆	U+8106	coei3A|33	c	oei	3A|33		
脇	U+8107	hip4Ab|3	h	ip	4Ab|3		
脈	U+8108	mek4B|2	m	ek	4B|2		
脉	U+8109	mek4B|2	m	ek	4B|2		
脊	U+810A	zik4Ab|3	z	ik	4Ab|3		
脊	U+810A	zeak4Ab|3	z	eak	4Ab|3		
脋	U+810B	hip4Ab|3	h	ip	4Ab|3		
脌	U+810C	nin1A|55	n	in	1A|55		
脌	U+810C	lin1A|55	l	in	1A|55		
脍	U+810D	kui2A|35	k	ui	2A|35		
脍	U+810D	kwui2A|35	kw	ui	2A|35		
脎	U+810E	sat4Ab|3	s	at	4Ab|3		
脏	U+810F	zong1A|55	z	ong	1A|55		
脏	U+810F	zong3A|33	z	ong	3A|33		
脏	U+810F	zong3B|22	z	ong	3B|22		
脐	U+8110	ci1B|21	c	i	1B|21		
脑	U+8111	nou2B|13	n	ou	2B|13		
脑	U+8111	lou2B|13	l	ou	2B|13		
脒	U+8112	mei2B|13	m	ei	2B|13		
脓	U+8113	nung1B|21	n	ung	1B|21		
脓	U+8113	lung1B|21	l	ung	1B|21		
脔	U+8114	lyun2B|13	l	yun	2B|13		
脔	U+8114	lyun2A|35	l	yun	2A|35		
脔	U+8114	lyun1B|21	l	yun	1B|21		
脕	U+8115	man2B|13	m	an	2B|13		
脕	U+8115	man3B|22	m	an	3B|22		
脖	U+8116	but4B|2	b	ut	4B|2		
脗	U+8117	men2B|13	m	en	2B|13		
脘	U+8118	gun2A|35	g	un	2A|35		
脘	U+8118	gwun2A|35	gw	un	2A|35		
脘	U+8118	wun2A|35	w	un	2A|35		
脙	U+8119	jeu1A|55	j	eu	1A|55		
脚	U+811A	geok4Ab|3	g	eok	4Ab|3		
脛	U+811B	hing2B|13	h	ing	2B|13		
脛	U+811B	ging3A|33	g	ing	3A|33		
脜	U+811C	jeu1B|21	j	eu	1B|21		
脝	U+811D	heng1A|55	h	eng	1A|55		
脞	U+811E	co2A|35	c	o	2A|35		
脟	U+811F	lyut4Ab|3	l	yut	4Ab|3		
脟	U+811F	lyun2A|35	l	yun	2A|35		
脠	U+8120	zin1A|55	z	in	1A|55		
脡	U+8121	ting2A|35	t	ing	2A|35		
脡	U+8121	ting2B|13	t	ing	2B|13		
脢	U+8122	mui1B|21	m	ui	1B|21		
脣	U+8123	soen1B|21	s	oen	1B|21		
脤	U+8124	sen2B|13	s	en	2B|13		
脥	U+8125	him2A|35	h	im	2A|35		
脦	U+8126	tik4Aa|5	t	ik	4Aa|5		
脧	U+8127	zoei1A|55	z	oei	1A|55		
脨	U+8128	cuk4Aa|5	c	uk	4Aa|5		
脩	U+8129	seu1A|55	s	eu	1A|55		
脪	U+812A	jen3A|33	j	en	3A|33		
脫	U+812B	tyut4Ab|3	t	yut	4Ab|3		
脬	U+812C	pau1A|55	p	au	1A|55		
脭	U+812D	cing1B|21	c	ing	1B|21		
脮	U+812E	noei2B|13	n	oei	2B|13		
脮	U+812E	loei2B|13	l	oei	2B|13		
脯	U+812F	fu2A|35	f	u	2A|35		
脯	U+812F	pou2A|35	p	ou	2A|35		
脯	U+812F	pou1B|21	p	ou	1B|21		
脰	U+8130	deu3B|22	d	eu	3B|22		
脱	U+8131	tyut4Ab|3	t	yut	4Ab|3		
簈	U+7C08	ping1B|21	p	ing	1B|21		
簉	U+7C09	zou3B|22	z	ou	3B|22		
簊	U+7C0A	geai1A|55	g	eai	1A|55		
簋	U+7C0B	gwei2A|35	gw	ei	2A|35		
簌	U+7C0C	cuk4Aa|5	c	uk	4Aa|5		
簍	U+7C0D	leu2B|13	l	eu	2B|13		
簎	U+7C0E	cak4Ab|3	c	ak	4Ab|3		
簏	U+7C0F	luk4Aa|5	l	uk	4Aa|5		
簐	U+7C10	nin2A|35	n	in	2A|35		
簐	U+7C10	lin2A|35	l	in	2A|35		
簑	U+7C11	so1A|55	s	o	1A|55		
簒	U+7C12	san3A|33	s	an	3A|33		
簓	U+7C13	diu1A|55	d	iu	1A|55		
簔	U+7C14	so1A|55	s	o	1A|55		
簕	U+7C15	lek4B|2	l	ek	4B|2		
簖	U+7C16	dyun3B|22	d	yun	3B|22		
簗	U+7C17	leong1B|21	l	eong	1B|21		
簘	U+7C18	siu1A|55	s	iu	1A|55		
簙	U+7C19	bok4Ab|3	b	ok	4Ab|3		
簚	U+7C1A	mik4B|2	m	ik	4B|2		
簛	U+7C1B	sei1A|55	s	ei	1A|55		
簜	U+7C1C	dong3B|22	d	ong	3B|22		
簝	U+7C1D	liu1B|21	l	iu	1B|21		
簞	U+7C1E	dan1A|55	d	an	1A|55		
簟	U+7C1F	tim2B|13	t	im	2B|13		
簟	U+7C1F	dim3A|33	d	im	3A|33		
簠	U+7C20	fu2A|35	f	u	2A|35		
簡	U+7C21	gan2A|35	g	an	2A|35		
簢	U+7C22	men2B|13	m	en	2B|13		
簣	U+7C23	gwei3B|22	gw	ei	3B|22		
簤	U+7C24	dai3B|22	d	ai	3B|22		
簥	U+7C25	giu1A|55	g	iu	1A|55		
簦	U+7C26	deng1A|55	d	eng	1A|55		
簧	U+7C27	wong1B|21	w	ong	1B|21		
簧	U+7C27	wong2A|35	w	ong	2A|35		
簨	U+7C28	soen2A|35	s	oen	2A|35		
簨	U+7C28	soen3A|33	s	oen	3A|33		
簩	U+7C29	lou1B|21	l	ou	1B|21		
簪	U+7C2A	zam1A|55	z	am	1A|55		
簫	U+7C2B	siu1A|55	s	iu	1A|55		
簬	U+7C2C	lou3B|22	l	ou	3B|22		
簭	U+7C2D	sei3B|22	s	ei	3B|22		
簮	U+7C2E	zam1A|55	z	am	1A|55		
簯	U+7C2F	keai1B|21	k	eai	1B|21		
簰	U+7C30	pai1B|21	p	ai	1B|21		
簱	U+7C31	keai1B|21	k	eai	1B|21		
簲	U+7C32	pai1B|21	p	ai	1B|21		
簳	U+7C33	gon3A|33	g	on	3A|33		
簳	U+7C33	gon2A|35	g	on	2A|35		
簴	U+7C34	goei3B|22	g	oei	3B|22		
簵	U+7C35	lou3B|22	l	ou	3B|22		
簶	U+7C36	luk4B|2	l	uk	4B|2		
簷	U+7C37	jim1B|21	j	im	1B|21		
簷	U+7C37	sim1B|21	s	im	1B|21		
簷	U+7C37	jem1B|21	j	em	1B|21		
簸	U+7C38	bo3A|33	b	o	3A|33		
簸	U+7C38	bo1A|55	b	o	1A|55		
簸	U+7C38	bo2A|35	b	o	2A|35		
簹	U+7C39	dong1A|55	d	ong	1A|55		
簺	U+7C3A	coi3A|33	c	oi	3A|33		
簻	U+7C3B	za1A|55	z	a	1A|55		
簻	U+7C3B	gwo1A|55	gw	o	1A|55		
簻	U+7C3B	go1A|55	g	o	1A|55		
簼	U+7C3C	geu1A|55	g	eu	1A|55		
簽	U+7C3D	cim1A|55	c	im	1A|55		
簾	U+7C3E	lim1B|21	l	im	1B|21		
簾	U+7C3E	lim2A|35	l	im	2A|35		
簿	U+7C3F	bou3B|22	b	ou	3B|22		
簿	U+7C3F	bou2A|35	b	ou	2A|35		
籀	U+7C40	zeu3B|22	z	eu	3B|22		
籁	U+7C41	lai3B|22	l	ai	3B|22		
籂	U+7C42	sik4Aa|5	s	ik	4Aa|5		
籃	U+7C43	lam1B|21	l	am	1B|21		
籃	U+7C43	lam2A|35	l	am	2A|35		
籄	U+7C44	gwei3B|22	gw	ei	3B|22		
籅	U+7C45	jyu1B|21	j	yu	1B|21		
籆	U+7C46	wok4B|2	w	ok	4B|2		
籆	U+7C46	jyut4B|2	j	yut	4B|2		
籇	U+7C47	gou1A|55	g	ou	1A|55		
籈	U+7C48	zen1A|55	z	en	1A|55		
籉	U+7C49	toi1B|21	t	oi	1B|21		
籊	U+7C4A	tik4Aa|5	t	ik	4Aa|5		
籊	U+7C4A	dik4B|2	d	ik	4B|2		
籋	U+7C4B	nip4B|2	n	ip	4B|2		
籋	U+7C4B	lip4B|2	l	ip	4B|2		
籌	U+7C4C	ceu1B|21	c	eu	1B|21		
籌	U+7C4C	ceu2A|35	c	eu	2A|35		
籍	U+7C4D	zik4B|2	z	ik	4B|2		
籎	U+7C4E	ji1B|21	j	i	1B|21		
籏	U+7C4F	keai1B|21	k	eai	1B|21		
籐	U+7C50	teng1B|21	t	eng	1B|21		
籑	U+7C51	zan3B|22	z	an	3B|22		
籒	U+7C52	zeu3B|22	z	eu	3B|22		
籓	U+7C53	fan1A|55	f	an	1A|55		
籔	U+7C54	sou2A|35	s	ou	2A|35		
籔	U+7C54	seu2A|35	s	eu	2A|35		
籕	U+7C55	zeu3B|22	z	eu	3B|22		
籖	U+7C56	cim1A|55	c	im	1A|55		
籗	U+7C57	zeok4Ab|3	z	eok	4Ab|3		
籘	U+7C58	teng1B|21	t	eng	1B|21		
籙	U+7C59	luk4B|2	l	uk	4B|2		
籚	U+7C5A	lou1B|21	l	ou	1B|21		
籛	U+7C5B	zin1A|55	z	in	1A|55		
籜	U+7C5C	tok4Ab|3	t	ok	4Ab|3		
籝	U+7C5D	jing1B|21	j	ing	1B|21		
籞	U+7C5E	jyu3B|22	j	yu	3B|22		
籟	U+7C5F	lai3B|22	l	ai	3B|22		
籠	U+7C60	lung1B|21	l	ung	1B|21		
籠	U+7C60	lung2A|35	l	ung	2A|35		
籠	U+7C60	lung2B|13	l	ung	2B|13		
籡	U+7C61	gim2A|35	g	im	2A|35		
籢	U+7C62	lim1B|21	l	im	1B|21		
籣	U+7C63	lan1B|21	l	an	1B|21		
籤	U+7C64	cim1A|55	c	im	1A|55		
籥	U+7C65	jeok4B|2	j	eok	4B|2		
籦	U+7C66	zung1A|55	z	ung	1A|55		
籧	U+7C67	koei1B|21	k	oei	1B|21		
籧	U+7C67	goei2A|35	g	oei	2A|35		
籨	U+7C68	lim1B|21	l	im	1B|21		
籩	U+7C69	bin1A|55	b	in	1A|55		
籪	U+7C6A	dyun3B|22	d	yun	3B|22		
籫	U+7C6B	zyun2A|35	z	yun	2A|35		
籬	U+7C6C	leai1B|21	l	eai	1B|21		
籬	U+7C6C	leai1A|55	l	eai	1A|55		
籭	U+7C6D	sei1A|55	s	ei	1A|55		
籮	U+7C6E	lo1B|21	l	o	1B|21		
籮	U+7C6E	lo1A|55	l	o	1A|55		
籮	U+7C6E	lo2A|35	l	o	2A|35		
籯	U+7C6F	jing1B|21	j	ing	1B|21		
籰	U+7C70	wok4B|2	w	ok	4B|2		
籰	U+7C70	jyut4B|2	j	yut	4B|2		
籱	U+7C71	zeok4Ab|3	z	eok	4Ab|3		
籲	U+7C72	jyu3B|22	j	yu	3B|22		
籲	U+7C72	jeok4B|2	j	eok	4B|2		
米	U+7C73	mei2B|13	m	ei	2B|13		
米	U+7C73	mei2A|35	m	ei	2A|35		
米	U+7C73	mei1A|55	m	ei	1A|55		
籴	U+7C74	deak4B|2	d	eak	4B|2		
籵	U+7C75	fan1B|21	f	an	1B|21		
籶	U+7C76	sen1A|55	s	en	1A|55		
籷	U+7C77	zak4Ab|3	z	ak	4Ab|3		
籸	U+7C78	sen1A|55	s	en	1A|55		
籸	U+7C78	sem2A|35	s	em	2A|35		
籸	U+7C78	sam2A|35	s	am	2A|35		
籹	U+7C79	noei2B|13	n	oei	2B|13		
籹	U+7C79	loei2B|13	l	oei	2B|13		
籹	U+7C79	jyu2B|13	j	yu	2B|13		
籺	U+7C7A	het4B|2	h	et	4B|2		
类	U+7C7B	loei3B|22	l	oei	3B|22		
类	U+7C7B	loei2A|35	l	oei	2A|35		
籼	U+7C7C	sin1A|55	s	in	1A|55		
籽	U+7C7D	zi2A|35	z	i	2A|35		
籾	U+7C7E	neai1B|21	n	eai	1B|21		
籾	U+7C7E	leai1B|21	l	eai	1B|21		
籿	U+7C7F					分米	fen1A|55 mei2B|13
粀	U+7C80					十米	sep4B|2 mei2B|13
粁	U+7C81					千米	cin1A|55 mei2B|13
粂	U+7C82	geu2A|35	g	eu	2A|35		
粃	U+7C83	beai2A|35	b	eai	2A|35		
粄	U+7C84	bun2A|35	b	un	2A|35		
粅	U+7C85	met4B|2	m	et	4B|2		
粆	U+7C86	sa1A|55	s	a	1A|55		
粇	U+7C87	hong1A|55	h	ong	1A|55		
粈	U+7C88	jeu2A|35	j	eu	2A|35		
粉	U+7C89	fen2A|35	f	en	2A|35		
粊	U+7C8A	beai3A|33	b	eai	3A|33		
粋	U+7C8B	soei3B|22	s	oei	3B|22		
粌	U+7C8C					百米	bak4Ab|3 mei2B|13
粍	U+7C8D					毫米	hou1B|21 mei2B|13
粎	U+7C8E	mei2B|13	m	ei	2B|13		
粏	U+7C8F	tai3A|33	t	ai	3A|33		
粐	U+7C90	wu3B|22	w	u	3B|22		
粑	U+7C91	ba1A|55	b	a	1A|55		
粒	U+7C92	nep4Aa|5	n	ep	4Aa|5		
粒	U+7C92	lep4Aa|5	l	ep	4Aa|5		
粓	U+7C93	gem1A|55	g	em	1A|55		
粔	U+7C94	goei3B|22	g	oei	3B|22		
粔	U+7C94	goei2A|35	g	oei	2A|35		
粕	U+7C95	pok4Ab|3	p	ok	4Ab|3		
粕	U+7C95	pak4Ab|3	p	ak	4Ab|3		
粖	U+7C96	mit4B|2	m	it	4B|2		
